r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
0.5	0.3	50	0.1	9.939764e-07	0.00013590234602698409	2962.74931330172	36164.02200665727	6916.970165349811
0.5	0.3	20	2.0	1.9879528e-05	0.00013590234602698409	305.67888104776756	68678.25246958419	2088.579988103963
0.5	0.3	20	1.0	9.939764e-06	0.00013590234602698409	593.247568522576	70242.72087318149	3332.605502682305
0.5	0.3	20	0.5	4.969882e-06	0.00013590234602698409	1071.5544848843504	71796.28127538023	4796.054398074111
0.5	0.3	20	0.1	9.939764e-07	0.00013590234602698409	3220.0217292919656	75579.93500547178	8625.59029377718
0.5	0.1	200	2.0	8.9214141e-06	0.00047698902642948483	7349.094249939801	18505.08791764701	9307.571081984015
0.5	0.1	200	1.0	4.4607071e-06	0.00047698902642948483	8559.191972287581	19716.51221261348	10520.307393976043
0.5	0.1	200	0.5	2.2303535e-06	0.00047698902642948483	9586.072327212783	20743.649535459183	11548.406953485115
0.5	0.1	200	0.1	4.4607071e-07	0.00047698902642948483	11420.851046856169	22578.21283876624	13384.332144099146
0.5	0.1	100	2.0	8.9214141e-06	0.00047698902642948483	11772.124466428362	33643.36570099436	15543.271592782645
0.5	0.1	100	1.0	4.4607071e-06	0.00047698902642948483	13765.639686657953	35637.808844295236	17541.231952567545
0.5	0.1	100	0.5	2.2303535e-06	0.00047698902642948483	15526.288489242179	37397.80561835048	19303.84355662848
0.5	0.1	100	0.1	4.4607071e-07	0.00047698902642948483	18958.256777866292	40827.60145540726	22737.530224411366
0.5	0.1	50	2.0	8.9214141e-06	0.00047698902642948483	18027.92302656364	60585.74735402552	25137.3781886753
0.5	0.1	50	1.0	4.4607071e-06	0.00047698902642948483	21022.901312468013	63583.18630845116	28142.33903439458
0.5	0.1	50	0.5	2.2303535e-06	0.00047698902642948483	23749.783952393445	66308.73404592897	30873.764585405002
0.5	0.1	50	0.1	4.4607071e-07	0.00047698902642948483	29621.217947362053	72174.56074426825	36749.17835303171
0.5	0.1	20	2.0	8.9214141e-06	0.00047698902642948483	29285.323195844438	130556.47371986773	45011.02975610169
0.5	0.1	20	1.0	4.4607071e-06	0.00047698902642948483	33781.837791998485	135074.35223259253	49543.006920046144
0.5	0.1	20	0.5	2.2303535e-06	0.00047698902642948483	37768.35737204555	138857.39146268615	53494.56833822322
0.5	0.1	20	0.1	4.4607071e-07	0.00047698902642948483	47764.29689979738	148848.84906963538	63508.89229955579
1.0	1.0	200	2.0	0.00016001203	0.00011264259996303087	0.0	3139.883134117922	296.56026360300433
1.0	1.0	200	1.0	8.0006016e-05	0.00011264259996303087	23.542151260854922	4153.005903156996	591.66501886117
1.0	1.0	200	0.5	4.0003008e-05	0.00011264259996303087	166.0799926547025	5268.793062852507	1094.370393866887
1.0	1.0	200	0.1	8.0006016e-06	0.00011264259996303087	1541.376706281404	8467.027416672256	3384.0605666001716
1.0	1.0	100	2.0	0.00016001203	0.00011264259996303087	0.0	4315.061581157719	308.6415072740918
1.0	1.0	100	1.0	8.0006016e-05	0.00011264259996303087	23.801000034936443	5771.419923956352	630.2621710714286
1.0	1.0	100	0.5	4.0003008e-05	0.00011264259996303087	171.47947114590806	7309.083616618555	1196.7404147781135
1.0	1.0	100	0.1	8.0006016e-06	0.00011264259996303087	1717.2011240626234	11516.383189400001	3938.101316248914
1.0	1.0	50	2.0	0.00016001203	0.00011264259996303087	0.0	5556.62548663998	315.1909088294224
1.0	1.0	50	1.0	8.0006016e-05	0.00011264259996303087	23.93295145087767	7513.576174414292	652.1902469912155
1.0	1.0	50	0.5	4.0003008e-05	0.00011264259996303087	174.35243914359546	9508.847588251372	1258.072548014793
1.0	1.0	50	0.1	8.0006016e-06	0.00011264259996303087	1825.0616800407106	14689.371150008754	4311.819747513345
1.0	1.0	20	2.0	0.00016001203	0.00011264259996303087	0.0	6985.541362568037	319.30040861343815
1.0	1.0	20	1.0	8.0006016e-05	0.00011264259996303087	24.01294656553153	9581.751140646344	666.3525264666512
1.0	1.0	20	0.5	4.0003008e-05	0.00011264259996303087	176.13665785433614	12146.744524651896	1299.0643988651507
1.0	1.0	20	0.1	8.0006016e-06	0.00011264259996303087	1898.2257778756334	18418.40455459224	4583.432769433218
1.0	0.7	200	2.0	0.00012354774	0.00016932983200487896	36.277814226700045	6472.3467441959265	647.253088716016
1.0	0.7	200	1.0	6.1773872e-05	0.00016932983200487896	215.28371848914125	7723.714152763705	1220.9676704972824
1.0	0.7	200	0.5	3.0886936e-05	0.00016932983200487896	656.9740972347169	9092.638247200564	2104.6200900695912
1.0	0.7	200	0.1	6.1773872e-06	0.00016932983200487896	3280.7160390359904	13196.639939955254	5591.107825518211
1.0	0.7	100	2.0	0.00012354774	0.00016932983200487896	36.85039588911909	10179.59762023648	701.8557059315608
1.0	0.7	100	1.0	6.1773872e-05	0.00016932983200487896	223.72206464043595	12027.876267969483	1372.2965340649603
1.0	0.7	100	0.5	3.0886936e-05	0.00016932983200487896	704.4784863277846	13945.536517881674	2440.953213458742
1.0	0.7	100	0.1	6.1773872e-06	0.00016932983200487896	3881.4479298112883	19531.07769887757	6934.665818959076
1.0	0.7	50	2.0	0.00012354774	0.00016932983200487896	37.14451024349666	15201.263997040753	734.2697507700876
1.0	0.7	50	1.0	6.1773872e-05	0.00016932983200487896	228.27407927670106	17802.72096301047	1469.4951045120185
1.0	0.7	50	0.5	3.0886936e-05	0.00016932983200487896	731.7640620657196	20363.31690687688	2672.8940565107564
1.0	0.7	50	0.1	6.1773872e-06	0.00016932983200487896	4294.243539757092	27444.578292160877	7973.697073719745
1.0	0.7	20	2.0	0.00012354774	0.00016932983200487896	37.323565868074404	23437.495963570887	755.8076896294751
1.0	0.7	20	1.0	6.1773872e-05	0.00016932983200487896	231.12346842218233	27215.304617321115	1537.743587499648
1.0	0.7	20	0.5	3.0886936e-05	0.00016932983200487896	749.5073992235564	30708.61266806087	2845.033271711362
1.0	0.7	20	0.1	6.1773872e-06	0.00016932983200487896	4597.7064442949795	39617.710631167916	8821.679972841572
1.0	0.5	200	2.0	9.677803e-05	0.0002487350268242733	279.36606984444563	9908.41383918527	1353.6060423276504
1.0	0.5	200	1.0	4.8389015e-05	0.0002487350268242733	814.0213605095499	11403.40800585533	2376.141725987442
1.0	0.5	200	0.5	2.4194508e-05	0.0002487350268242733	1806.3271066554782	13115.566094869731	3797.349773778913
1.0	0.5	200	0.1	4.8389015e-06	0.0002487350268242733	5915.000680588309	18177.275573075764	8538.705599812725
1.0	0.5	100	2.0	9.677803e-05	0.0002487350268242733	293.20574981197086	16641.600264175144	1578.2199549923969
