r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
0.5	0.3	200	0.5	4.969882e-06	0.00013590234602698409	989.6330846328481	10699.444462086973	2523.6163536147455
0.5	0.3	200	0.1	9.939764e-07	0.00013590234602698409	3044.3779425535977	13258.913136777323	5062.515885538119
0.5	0.3	100	2.0	1.9879528e-05	0.00013590234602698409	298.33942150323384	16971.971995302403	1536.9682977652726
0.5	0.3	100	1.0	9.939764e-06	0.00013590234602698409	575.8187803200815	17833.57035264843	2288.843644926237
0.5	0.3	100	0.5	4.969882e-06	0.00013590234602698409	1037.6978929128045	18807.640915476677	3223.272050360137
0.5	0.3	100	0.1	9.939764e-07	0.00013590234602698409	3208.0278670852085	21786.53155833016	6198.4200655069835
0.5	0.3	50	2.0	1.9879528e-05	0.00013590234602698409	303.28979284841455	30881.48692988796	1813.3140193123313
0.5	0.3	50	1.0	9.939764e-06	0.00013590234602698409	588.3349210064526	32029.564726916386	2789.0190359095805
0.5	0.3	50	0.5	4.969882e-06	0.00013590234602698409	1065.1868912103728	33255.15611621518	3964.4547758496224
0.5	0.3	50	0.1	9.939764e-07	0.00013590234602698409	3307.971207515645	36681.352942486345	7409.33581691648
0.5	0.3	20	2.0	1.9879528e-05	0.00013590234602698409	306.382312027685	68720.41322747384	2095.0521815718403
0.5	0.3	20	1.0	9.939764e-06	0.00013590234602698409	596.2961672699422	70299.9361489534	3350.586726205821
0.5	0.3	20	0.5	4.969882e-06	0.00013590234602698409	1083.0410972961224	71879.7390886964	4837.309495880109
0.5	0.3	20	0.1	9.939764e-07	0.00013590234602698409	3375.956242650233	75878.96187600729	8876.731862227294
0.5	0.1	200	2.0	8.9214141e-06	0.00047698902642948483	10731.899133084544	21995.815018922836	12763.81719265443
0.5	0.1	200	1.0	4.4607071e-06	0.00047698902642948483	14160.620751856444	25428.693353315142	16197.344904352009
0.5	0.1	200	0.5	2.2303535e-06	0.00047698902642948483	18088.533627769637	29358.901734349944	20128.067423044482
0.5	0.1	200	0.1	4.4607071e-07	0.00047698902642948483	32154.145517977893	43427.87156313266	34198.11243245712
0.5	0.1	100	2.0	8.9214141e-06	0.00047698902642948483	15224.38197871584	37291.64051090775	19124.182891354285
0.5	0.1	100	1.0	4.4607071e-06	0.00047698902642948483	19243.819520015943	41317.49600885052	23151.940811385124
0.5	0.1	100	0.5	2.2303535e-06	0.00047698902642948483	23598.63988242237	45675.517191141946	27511.382554221473
0.5	0.1	100	0.1	4.4607071e-07	0.00047698902642948483	38544.00142016944	60625.26743263296	42464.04439700188
